
Example of training data:
Control Data Sample: dbccaacadccabbbbbbbc
Experimental Data Sample: dbCAcadCab7c
Compression ratio: 0.6
Control Transformer Training:
Epoch: 1, Loss: 8.629322052001953, Cumulative Time: 1.125s, ETA: 11248.572
Epoch: 2, Loss: 4.671148777008057, Cumulative Time: 1.220s, ETA: 6099.672
Epoch: 3, Loss: 3.3944225311279297, Cumulative Time: 1.294s, ETA: 4312.746
Epoch: 4, Loss: 2.8808016777038574, Cumulative Time: 1.378s, ETA: 3444.034
Epoch: 5, Loss: 2.63079571723938, Cumulative Time: 1.482s, ETA: 2961.959
Epoch: 6, Loss: 2.5012354850769043, Cumulative Time: 1.572s, ETA: 2617.971
Epoch: 7, Loss: 2.4168038368225098, Cumulative Time: 1.655s, ETA: 2362.180
Epoch: 8, Loss: 2.365715742111206, Cumulative Time: 1.726s, ETA: 2155.380
Epoch: 9, Loss: 2.3179664611816406, Cumulative Time: 1.811s, ETA: 2010.057
Epoch: 10, Loss: 2.271415948867798, Cumulative Time: 1.886s, ETA: 1884.554
Epoch: 11, Loss: 2.2236976623535156, Cumulative Time: 1.974s, ETA: 1792.972
Epoch: 12, Loss: 2.1797759532928467, Cumulative Time: 2.056s, ETA: 1711.643
Epoch: 13, Loss: 2.1294314861297607, Cumulative Time: 2.160s, ETA: 1659.031
Epoch: 14, Loss: 2.086930751800537, Cumulative Time: 2.255s, ETA: 1608.134
Epoch: 15, Loss: 2.0418074131011963, Cumulative Time: 2.355s, ETA: 1567.472
Epoch: 16, Loss: 1.9963515996932983, Cumulative Time: 2.438s, ETA: 1521.148
Epoch: 17, Loss: 1.9541780948638916, Cumulative Time: 2.541s, ETA: 1492.011
Epoch: 18, Loss: 1.9205764532089233, Cumulative Time: 2.654s, ETA: 1471.695
Epoch: 19, Loss: 1.884027361869812, Cumulative Time: 2.764s, ETA: 1451.882
Epoch: 20, Loss: 1.8482609987258911, Cumulative Time: 2.873s, ETA: 1433.540
Epoch: 21, Loss: 1.8146203756332397, Cumulative Time: 2.977s, ETA: 1414.559
Epoch: 22, Loss: 1.7828176021575928, Cumulative Time: 3.080s, ETA: 1396.843
Epoch: 23, Loss: 1.7533396482467651, Cumulative Time: 3.194s, ETA: 1385.429
Epoch: 24, Loss: 1.72119140625, Cumulative Time: 3.297s, ETA: 1370.385
Epoch: 25, Loss: 1.6929409503936768, Cumulative Time: 3.410s, ETA: 1360.704
Epoch: 26, Loss: 1.6655312776565552, Cumulative Time: 3.517s, ETA: 1349.106
Epoch: 27, Loss: 1.6284838914871216, Cumulative Time: 3.611s, ETA: 1333.683
Epoch: 28, Loss: 1.605048418045044, Cumulative Time: 3.720s, ETA: 1324.743
Epoch: 29, Loss: 1.574682354927063, Cumulative Time: 3.821s, ETA: 1313.686
Epoch: 30, Loss: 1.5498138666152954, Cumulative Time: 3.921s, ETA: 1303.003
Epoch: 31, Loss: 1.520929217338562, Cumulative Time: 4.006s, ETA: 1288.252
Epoch: 32, Loss: 1.4993027448654175, Cumulative Time: 4.116s, ETA: 1282.134
Epoch: 33, Loss: 1.4874004125595093, Cumulative Time: 4.242s, ETA: 1281.212
Epoch: 34, Loss: 1.4688098430633545, Cumulative Time: 4.359s, ETA: 1277.699
Epoch: 35, Loss: 1.451362133026123, Cumulative Time: 4.460s, ETA: 1269.824
Epoch: 36, Loss: 1.4383516311645508, Cumulative Time: 4.540s, ETA: 1256.570
Epoch: 37, Loss: 1.4143693447113037, Cumulative Time: 4.648s, ETA: 1251.567
Epoch: 38, Loss: 1.3992130756378174, Cumulative Time: 4.746s, ETA: 1244.111
Epoch: 39, Loss: 1.3844736814498901, Cumulative Time: 4.833s, ETA: 1234.443
Epoch: 40, Loss: 1.3858829736709595, Cumulative Time: 4.916s, ETA: 1224.096
Epoch: 41, Loss: 1.407345175743103, Cumulative Time: 4.996s, ETA: 1213.551
Epoch: 42, Loss: 1.3750290870666504, Cumulative Time: 5.114s, ETA: 1212.422
Epoch: 43, Loss: 1.3478145599365234, Cumulative Time: 5.203s, ETA: 1204.716
Epoch: 44, Loss: 1.3593292236328125, Cumulative Time: 5.276s, ETA: 1193.724
Epoch: 45, Loss: 1.3387588262557983, Cumulative Time: 5.351s, ETA: 1183.663
Epoch: 46, Loss: 1.3360943794250488, Cumulative Time: 5.447s, ETA: 1178.718
Epoch: 47, Loss: 1.3195393085479736, Cumulative Time: 5.528s, ETA: 1170.585
Epoch: 48, Loss: 1.3136587142944336, Cumulative Time: 5.610s, ETA: 1163.109
Epoch: 49, Loss: 1.3075075149536133, Cumulative Time: 5.704s, ETA: 1158.390
Epoch: 50, Loss: 1.309697151184082, Cumulative Time: 5.795s, ETA: 1153.109
Epoch: 51, Loss: 1.2975696325302124, Cumulative Time: 5.896s, ETA: 1150.131
Epoch: 52, Loss: 1.291559100151062, Cumulative Time: 5.998s, ETA: 1147.527
Epoch: 53, Loss: 1.287705898284912, Cumulative Time: 6.086s, ETA: 1142.240
Epoch: 54, Loss: 1.2819182872772217, Cumulative Time: 6.165s, ETA: 1135.455
