
Example of training data:
Control Data Sample: bcbcabacabccccabddbc
Experimental Data Sample: bcbcabacabc4abDbc
Compression ratio: 0.85
Control Transformer Training:
Epoch: 1, Loss: 8.465968132019043, Cumulative Time: 1.601s, ETA: 16008.409
Epoch: 2, Loss: 4.765542507171631, Cumulative Time: 1.728s, ETA: 8638.268
Epoch: 3, Loss: 3.5386786460876465, Cumulative Time: 1.858s, ETA: 6191.491
Epoch: 4, Loss: 3.000431537628174, Cumulative Time: 1.981s, ETA: 4950.524
Epoch: 5, Loss: 2.744262933731079, Cumulative Time: 2.103s, ETA: 4203.906
Epoch: 6, Loss: 2.610358715057373, Cumulative Time: 2.227s, ETA: 3709.442
Epoch: 7, Loss: 2.5202136039733887, Cumulative Time: 2.348s, ETA: 3351.938
Epoch: 8, Loss: 2.4550089836120605, Cumulative Time: 2.461s, ETA: 3073.791
Epoch: 9, Loss: 2.402235984802246, Cumulative Time: 2.579s, ETA: 2862.979
Epoch: 10, Loss: 2.3517425060272217, Cumulative Time: 2.695s, ETA: 2692.305
Epoch: 11, Loss: 2.3037893772125244, Cumulative Time: 2.797s, ETA: 2539.930
Epoch: 12, Loss: 2.2528457641601562, Cumulative Time: 2.904s, ETA: 2417.093
Epoch: 13, Loss: 2.201720714569092, Cumulative Time: 3.008s, ETA: 2310.836
Epoch: 14, Loss: 2.1567606925964355, Cumulative Time: 3.117s, ETA: 2223.335
Epoch: 15, Loss: 2.1076419353485107, Cumulative Time: 3.225s, ETA: 2146.798
Epoch: 16, Loss: 2.0638315677642822, Cumulative Time: 3.329s, ETA: 2077.317
Epoch: 17, Loss: 2.022684097290039, Cumulative Time: 3.435s, ETA: 2017.175
Epoch: 18, Loss: 1.9816240072250366, Cumulative Time: 3.537s, ETA: 1961.464
Epoch: 19, Loss: 1.9418094158172607, Cumulative Time: 3.623s, ETA: 1903.219
Epoch: 20, Loss: 1.9073383808135986, Cumulative Time: 3.734s, ETA: 1863.264
Epoch: 21, Loss: 1.8703075647354126, Cumulative Time: 3.841s, ETA: 1825.204
Epoch: 22, Loss: 1.835632085800171, Cumulative Time: 3.928s, ETA: 1781.523
Epoch: 23, Loss: 1.8026715517044067, Cumulative Time: 4.016s, ETA: 1742.051
Epoch: 24, Loss: 1.772436499595642, Cumulative Time: 4.118s, ETA: 1711.695
Epoch: 25, Loss: 1.7393819093704224, Cumulative Time: 4.218s, ETA: 1682.964
Epoch: 26, Loss: 1.7084031105041504, Cumulative Time: 4.325s, ETA: 1659.118
Epoch: 27, Loss: 1.676866054534912, Cumulative Time: 4.418s, ETA: 1631.861
Epoch: 28, Loss: 1.6483817100524902, Cumulative Time: 4.507s, ETA: 1605.118
Epoch: 29, Loss: 1.6171786785125732, Cumulative Time: 4.591s, ETA: 1578.496
Epoch: 30, Loss: 1.5847564935684204, Cumulative Time: 4.691s, ETA: 1558.958
Epoch: 31, Loss: 1.55338716506958, Cumulative Time: 4.801s, ETA: 1543.893
Epoch: 32, Loss: 1.5246527194976807, Cumulative Time: 4.924s, ETA: 1533.808
Epoch: 33, Loss: 1.4996830224990845, Cumulative Time: 5.034s, ETA: 1520.402
Epoch: 34, Loss: 1.4819114208221436, Cumulative Time: 5.157s, ETA: 1511.589
Epoch: 35, Loss: 1.4660874605178833, Cumulative Time: 5.268s, ETA: 1499.856
Epoch: 36, Loss: 1.4525583982467651, Cumulative Time: 5.376s, ETA: 1487.940
Epoch: 37, Loss: 1.445512056350708, Cumulative Time: 5.474s, ETA: 1473.969
Epoch: 38, Loss: 1.4689304828643799, Cumulative Time: 5.586s, ETA: 1464.398
Epoch: 39, Loss: 1.4395830631256104, Cumulative Time: 5.678s, ETA: 1450.204
Epoch: 40, Loss: 1.3972153663635254, Cumulative Time: 5.782s, ETA: 1439.702
Epoch: 41, Loss: 1.4121825695037842, Cumulative Time: 5.891s, ETA: 1430.923
Epoch: 42, Loss: 1.373520851135254, Cumulative Time: 6.000s, ETA: 1422.555
Epoch: 43, Loss: 1.3796123266220093, Cumulative Time: 6.105s, ETA: 1413.645
Epoch: 44, Loss: 1.3643903732299805, Cumulative Time: 6.208s, ETA: 1404.684
Epoch: 45, Loss: 1.349743366241455, Cumulative Time: 6.317s, ETA: 1397.444
