
Example of training data:
Control Data Sample: acaacbdbddddbddbabccacaccbabdadadbbdacccbbbdadaacaddabbbadbcccaabcabcbddbcbdbcaccbbbbdaadaabcccabbbc
Experimental Data Sample: b'\x1f\x8b\x08\x00\xe5\xfb<f\x02\xff\x1d\x8c\x89\x15\x00\x00\x04Bg\xed\xd8\x7f\x06_\xf2\x90B\x91\xe2\xba\x04\xc5r"\x10\xa6\n\x98\x16\xa8G\x91ZA\x10\xd8\n;\xf9\x87\xffdws\xbeu\x06X\x0e\xc8im;d\x00\x00\x00'
Compression ratio: 0.67

Experimental Transformer Training:
Epoch: 1, Loss: 8.701679229736328, Cumulative Time: 1.877s, ETA: 1875.068
Epoch: 2, Loss: 7.904741287231445, Cumulative Time: 1.969s, ETA: 982.550
Epoch: 3, Loss: 7.585879325866699, Cumulative Time: 2.048s, ETA: 680.670
Epoch: 4, Loss: 7.4158406257629395, Cumulative Time: 2.158s, ETA: 537.384
Epoch: 5, Loss: 7.288314342498779, Cumulative Time: 2.251s, ETA: 447.984
Epoch: 6, Loss: 7.167031764984131, Cumulative Time: 2.331s, ETA: 386.216
Epoch: 7, Loss: 7.024238109588623, Cumulative Time: 2.413s, ETA: 342.341
Epoch: 8, Loss: 6.851501941680908, Cumulative Time: 2.518s, ETA: 312.265
Epoch: 9, Loss: 6.673562526702881, Cumulative Time: 2.625s, ETA: 289.019
Epoch: 10, Loss: 6.517643928527832, Cumulative Time: 2.737s, ETA: 270.942
Epoch: 11, Loss: 6.384610176086426, Cumulative Time: 2.834s, ETA: 254.824
Epoch: 12, Loss: 6.268660545349121, Cumulative Time: 2.938s, ETA: 241.929
Epoch: 13, Loss: 6.159851551055908, Cumulative Time: 3.048s, ETA: 231.444
Epoch: 14, Loss: 6.0589213371276855, Cumulative Time: 3.153s, ETA: 222.028
Epoch: 15, Loss: 5.963415622711182, Cumulative Time: 3.257s, ETA: 213.875
Epoch: 16, Loss: 5.874236583709717, Cumulative Time: 3.335s, ETA: 205.102
Epoch: 17, Loss: 5.784331798553467, Cumulative Time: 3.422s, ETA: 197.844
Epoch: 18, Loss: 5.70094633102417, Cumulative Time: 3.504s, ETA: 191.159
Epoch: 19, Loss: 5.617542266845703, Cumulative Time: 3.600s, ETA: 185.898
Epoch: 20, Loss: 5.541836261749268, Cumulative Time: 3.691s, ETA: 180.879
